name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
Grundens_ X J.Crew graphic hoodie,,,,,,
Petite Sydney wide-leg pant in bi-stretch cotton,,,,,mixed,"Light,Light to Mid Weight,Rayon,Cream,Fly Zip,Solid,Classic,Cotton,High Waisted,Viscose,Loose,Wide Leg,Elastane,Cropped,Neutral"
,,,,,,
Tall Sydney wide-leg pant in four-season stretch,,,,,mixed,"Trouser,Elastane,Stretch,Work,High Waisted,Minimalist,Slant Pocket,Ankle,Light to Mid Weight,Light,Wool,Flared,Regular,Neutral,Stiff Heavy,Gray,Solid"
Tall wide-leg pant in Italian ponte,,,,,mens,"Ankle,Slant Pocket,Solid,Polyamide,Viscose,Knit,Slim,Mid to-Heavy-Weight-Fabric,Rayon,Minimalist,Elastane,Light to Mid Weight,Trouser,Work,High Waisted,Straight,Neutral,Dark,Blue"
Rosebud Perfume Co. rosebud salve,,,,,,
Unisex Koio Capri Nero canvas sneakers,,,,,,
Unisex Koio Capri Perla sneakers,,,,,,
Unisex Koio Capri Nero sneakers,,,,,,
Unisex Koio Capri Castagna sneakers,,,,,,
Summersalt_ sun streak one-piece in blue,,,,,,
Summersalt_ high leg high-rise bikini bottom in green,,,,,,
Summersalt_ sun streak one-piece in green,,,,,,
Odette New York_ Ridge necklace,,,,,,
Odette New York_ Ridge Post earrings,,,,,,
Tinker_ 42mm copper-toned watch with grey strap,,,,,,
Tinker_ 42mm silver-toned watch with green strap,,,,,,
Odette New York_ Split Ridge cuff bracelet,,,,,,
Tinker_ 38mm gold-toned watch with green strap,,,,,,
Odette New York_ Wing necklace,,,,,,
Onia Estelle smocking one-piece,,,,,,
Onia Isabella seersucker one-piece,,,,,,
Onia Danni terry bikini top,,,,,,
Onia Lily bikini bottom,,,,,,
Onia Elena solid one-piece,,,,,,
"Onia Calder 7.5"" swim trunk",,,,,,
"Onia Charles 7"" swim trunk",,,,,,
Unisex RAINS_ base jacket,,,,,,
RAINS_ laptop portfolio in black,,,,,,
RAINS_ unisex jacket,,,,,,
Bembien_ Harper bag,,,,,,
The Great Eros_ Fresco bikini bottom,,,,,,
The Great Eros_ Forma high-waist brief,,,,,,
The Great Eros_ Canova high-waist brief,,,,,,
Mayron's GOODS_ black malt man oil,,,,,,
Mayron's GOODS_ milk 1952 series lotion - bergamont + blood orange,,,,,,
"GROWN ALCHEMIST_ body cleanser - chamomile, bergamot and rosewood",,,,,,
"GROWN ALCHEMIST_ gentle gel facial cleanser - geranium, bergamot and rosebud",,,,,,
GROWN ALCHEMIST_ detox hair care twin set 0.1 - shampoo and conditioner,,,,,,
Fellow Barber_ Texture Paste,,,,,,
Fellow Barber_ Complete Shampoo,,,,,,
Onia Rosa chili Panama hat,,,,,,
Onia Kelly mixed fruit one-piece,,,,,,
Onia Nina chili one-piece,,,,,,
Onia Rochelle kiwi bikini bottom,,,,,,
"Onia Charles 7"" swim trunk in denim stripe",,,,,,
"Onia Charles 5"" swim trunk in white",,,,,,
Fragrance With Benefits_ NoMo body cr_me,,,,,,
Unisex Koio Capri chili perforated sneakers,,,,,,
Quoddy_ downeast boat shoes,,,,,,
SeaVees_ women's Huntington middie sneakers in suede,,,,,,
SeaVees_ Monterey sneaker standards in red ochre,,,,,,
SNOWE_ bath towel,,,,,,
SNOWE_ Speakeasy candle,,,,,,
SNOWE_ Pillow Talk diffuser,,,,,,
Odette New York_ Arp cuff bracelet,,,,,,
